what,kind,bundleId,bundleVersion,description,time
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1456029539734
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1456029539801
deactivated,workbench,org.eclipse.ui.workbench,3.107.0.v20150825-2206,"",1456029543614
activated,workbench,org.eclipse.ui.workbench,3.107.0.v20150825-2206,"",1456029547539
executed,command,org.eclipse.ui,3.107.0.v20150507-1945,"org.eclipse.ui.file.save",1456029560570
deactivated,workbench,org.eclipse.ui.workbench,3.107.0.v20150825-2206,"",1456029561783
activated,workbench,org.eclipse.ui.workbench,3.107.0.v20150825-2206,"",1456029564763
executed,command,org.eclipse.ui,3.107.0.v20150507-1945,"org.eclipse.ui.edit.text.contentAssist.proposals",1456029567459
executed,command,org.eclipse.ui,3.107.0.v20150507-1945,"org.eclipse.ui.edit.text.contentAssist.proposals",1456029569874
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.show.outline",1456029572258
deactivated,workbench,org.eclipse.ui.workbench,3.107.0.v20150825-2206,"",1456029572266
activated,workbench,org.eclipse.ui.workbench,3.107.0.v20150825-2206,"",1456029573071
executed,command,org.eclipse.ui,3.107.0.v20150507-1945,"org.eclipse.ui.edit.text.contentAssist.proposals",1456029577043
started,bundle,org.eclipse.recommenders.snipmatch,2.2.4.v20150914-0857,"org.eclipse.recommenders.snipmatch",1456029580258
deactivated,workbench,org.eclipse.ui.workbench,3.107.0.v20150825-2206,"",1456029580379
activated,workbench,org.eclipse.ui.workbench,3.107.0.v20150825-2206,"",1456029593179
deactivated,workbench,org.eclipse.ui.workbench,3.107.0.v20150825-2206,"",1456029593447
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1456029594723
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.generate.constructor.using.fields",1456029594752
activated,workbench,org.eclipse.ui.workbench,3.107.0.v20150825-2206,"",1456029594761
executed,command,org.eclipse.ui,3.107.0.v20150507-1945,"org.eclipse.ui.file.save",1456029595580
executed,command,org.eclipse.ui,3.107.0.v20150507-1945,"org.eclipse.ui.file.save",1456029600906
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.format",1456029603513
executed,command,org.eclipse.ui,3.107.0.v20150507-1945,"org.eclipse.ui.file.save",1456029604713
executed,command,org.eclipse.ui,3.107.0.v20150507-1945,"org.eclipse.ui.file.save",1456029613039
deactivated,workbench,org.eclipse.ui.workbench,3.107.0.v20150825-2206,"",1456029614707
activated,workbench,org.eclipse.ui.workbench,3.107.0.v20150825-2206,"",1456029621978
deactivated,workbench,org.eclipse.ui.workbench,3.107.0.v20150825-2206,"",1456029625133
activated,workbench,org.eclipse.ui.workbench,3.107.0.v20150825-2206,"",1456029628077
executed,command,org.eclipse.ui,3.107.0.v20150507-1945,"org.eclipse.ui.edit.text.contentAssist.proposals",1456029632555
deactivated,workbench,org.eclipse.ui.workbench,3.107.0.v20150825-2206,"",1456029634623
